Time	Open	High	Low	Close	Volume
2017-07-21 04:00:00	145.183	145.329	145.009	145.217	35132	14
2017-07-21 08:00:00	145.216	145.312	144.89	144.983	37188	13
2017-07-21 12:00:00	144.985	145.036	144.056	144.173	44375	13
2017-07-21 16:00:00	144.175	144.489	144.099	144.338	28690	14
2017-07-21 20:00:00	144.333	144.45	144.325	144.388	5443	17
2017-07-23 20:00:00	144.333	144.502	144.217	144.262	10213	135
2017-07-24 00:00:00	144.265	144.486	144.035	144.358	29887	18
2017-07-24 04:00:00	144.358	144.663	144.026	144.222	34540	15
2017-07-24 08:00:00	144.222	144.509	144.15	144.474	38268	14
2017-07-24 12:00:00	144.473	145.012	144.299	144.745	42690	14
2017-07-24 16:00:00	144.743	144.96	144.741	144.79	29938	11
2017-07-24 20:00:00	144.783	144.922	144.695	144.896	17209	6
2017-07-25 00:00:00	144.899	144.99	144.644	144.718	26872	17
2017-07-25 04:00:00	144.716	144.871	144.462	144.83	35468	13
2017-07-25 08:00:00	144.827	145.675	144.822	145.631	38475	13
2017-07-25 12:00:00	145.632	145.882	145.437	145.575	49890	11
2017-07-25 16:00:00	145.577	145.888	145.438	145.798	32203	11
2017-07-25 20:00:00	145.801	145.954	145.687	145.915	19190	16
2017-07-26 00:00:00	145.92	146.019	145.706	145.72	30423	12
2017-07-26 04:00:00	145.722	145.799	145.493	145.674	31215	13
2017-07-26 08:00:00	145.675	145.975	145.529	145.913	59040	13
2017-07-26 12:00:00	145.912	146.407	145.763	146.271	48884	13
2017-07-26 16:00:00	146.277	146.413	145.619	145.764	51212	12
2017-07-26 20:00:00	145.767	145.894	145.65	145.777	24740	11
2017-07-27 00:00:00	145.776	145.853	145.446	145.821	37230	15
2017-07-27 04:00:00	145.82	146.153	145.741	146.07	39438	14
2017-07-27 08:00:00	146.073	146.531	146.054	146.44	44286	11
2017-07-27 12:00:00	146.441	146.557	145.769	145.82	53973	10
2017-07-27 16:00:00	145.818	145.91	145.126	145.263	49621	10
2017-07-27 20:00:00	145.256	145.455	145.196	145.26	23348	15
2017-07-28 00:00:00	145.259	145.407	145.01	145.328	32935	14
2017-07-28 04:00:00	145.328	145.337	145.1	145.238	36720	15
2017-07-28 08:00:00	145.24	145.779	145.222	145.574	41104	13
2017-07-28 12:00:00	145.574	145.644	145.121	145.456	60824	10
2017-07-28 16:00:00	145.453	145.599	145.288	145.39	33514	13
2017-07-28 20:00:00	145.39	145.531	145.309	145.309	7832	15
2017-07-30 20:00:00	145.179	145.421	145.177	145.24	10412	201
2017-07-31 00:00:00	145.238	145.265	144.884	145.079	29594	17
2017-07-31 04:00:00	145.08	145.217	145.02	145.117	29279	10
2017-07-31 08:00:00	145.118	145.285	144.816	145.044	36657	12
2017-07-31 12:00:00	145.043	145.838	144.956	145.632	49684	14
2017-07-31 16:00:00	145.629	145.703	145.427	145.458	39197	12
2017-07-31 20:00:00	145.454	145.799	145.42	145.633	28063	13
2017-08-01 00:00:00	145.638	145.794	145.402	145.603	28361	14
2017-08-01 04:00:00	145.603	145.824	145.444	145.493	31196	14
2017-08-01 08:00:00	145.496	146.163	145.471	145.876	37801	13
2017-08-01 12:00:00	145.878	146.119	145.464	145.675	54726	11
2017-08-01 16:00:00	145.674	145.798	145.595	145.662	27272	14
2017-08-01 20:00:00	145.665	145.888	145.571	145.863	20982	7
2017-08-02 00:00:00	145.857	146.105	145.833	146.071	29539	15
2017-08-02 04:00:00	146.073	146.578	146.059	146.522	33389	14
2017-08-02 08:00:00	146.523	146.76	146.403	146.41	36546	14
2017-08-02 12:00:00	146.41	146.707	145.915	146.168	51439	13
2017-08-02 16:00:00	146.166	146.435	146.052	146.363	30895	12
2017-08-02 20:00:00	146.363	146.624	146.306	146.497	26623	12
2017-08-03 00:00:00	146.498	146.509	146.091	146.303	24935	17
2017-08-03 04:00:00	146.303	146.492	146.243	146.329	26134	15
2017-08-03 08:00:00	146.323	146.797	145.032	145.06	44068	14
2017-08-03 12:00:00	145.058	145.068	144.447	144.735	55950	14
2017-08-03 16:00:00	144.734	144.81	144.387	144.483	31739	12
2017-08-03 20:00:00	144.48	144.625	144.374	144.43	19720	12
2017-08-04 00:00:00	144.429	144.746	144.382	144.649	21232	17
